observation_date;rate;;
2018-01-01;12,30;;
2018-02-01;12,70;;
2018-03-01;13,20;;
2018-04-01;13;;
2018-05-01;12,80;;
2018-06-01;12,60;;
2018-07-01;12,40;;
2018-08-01;12,30;;
2018-09-01;12;;
2018-10-01;11,90;;
2018-11-01;11,70;;
2018-12-01;11,70;;
2019-01-01;12,20;;
2019-02-01;12,60;;
2019-03-01;12,80;;
2019-04-01;12,60;;
2019-05-01;12,40;;
2019-06-01;12,10;;
2019-07-01;12;;
2019-08-01;11,90;;
2019-09-01;11,90;;
2019-10-01;11,80;;
2019-11-01;11,30;;
2019-12-01;11,10;;
2020-01-01;11,40;;
2020-02-01;11,80;;
2020-03-01;12,40;;
2020-04-01;12,70;;
2020-05-01;13,10;;
2020-06-01;13,60;;
2020-07-01;14,10;;
2020-08-01;14,80;;
2020-09-01;14,90;;
2020-10-01;14,60;;
2020-11-01;14,40;;
2020-12-01;14,20;;
2021-01-01;14,50;;
2021-02-01;14,60;;
2021-03-01;14,90;;
2021-04-01;14,80;;
2021-05-01;14,70;;
2021-06-01;14,20;;
2021-07-01;13,70;;
2021-08-01;13,10;;
2021-09-01;12,60;;
2021-10-01;12,10;;
2021-11-01;11,60;;
2021-12-01;11,10;;
2022-01-01;11,20;;
2022-02-01;11,20;;
2022-03-01;11,10;;
2022-04-01;10,50;;
2022-05-01;9,80;;
2022-06-01;9,30;;
2022-07-01;9,10;;
2022-08-01;8,90;;
2022-09-01;8,70;;
2022-10-01;8,30;;
2022-11-01;8,10;;
2022-12-01;7,90;;
2023-01-01;8,40;;
2023-02-01;8,60;;
2023-03-01;8,80;;
2023-04-01;8,50;;
2023-05-01;8,30;;
2023-06-01;8;;
2023-07-01;7,90;;
2023-08-01;7,80;;
2023-09-01;7,70;;
2023-10-01;7,60;;
2023-11-01;7,50;;
2023-12-01;7,40;;
2024-01-01;7,60;;
2024-02-01;7,80;;
2024-03-01;7,90;;
2024-04-01;7,50;;
2024-05-01;7,10;;
2024-06-01;6,90;;
2024-07-01;6,80;;
2024-08-01;6,60;;
2024-09-01;6,40;;
;;;
;;;
;;;
;;;
